iteration,feature,train_split,model_params,mae,mse
2,"['Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese']",[    0     1     2 ... 12610 12611 12612],"[100, 0.5, None, 0.0005]",10.875472315410828,202.92514270724732
3,"['Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese']",[    0     1     3 ... 12610 12611 12612],"[100, 0.5, None, 0.0005]",11.099013096397627,228.08978082617986
4,"['Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese']",[    0     1     2 ... 12610 12611 12612],"[100, 0.5, None, 0.0005]",10.264111139231586,179.962487863254
5,"['Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese']",[    1     2     3 ... 12610 12611 12612],"[100, 0.5, None, 0.0005]",10.227957175583821,180.4379417377586
6,"['Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese']",[    0     1     2 ... 12610 12611 12612],"[200, 0.75, None, 0.0005]",10.825760997226645,206.1535818075884
7,"['Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese']",[    0     1     2 ... 12610 12611 12612],"[100, 0.5, None, 0.0005]",10.692452626699673,201.0875331394101
8,"['Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese']",[    0     2     3 ... 12608 12609 12610],"[100, 0.5, None, 0.0005]",10.4904750458464,204.45776908239623
9,"['Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese']",[    0     1     2 ... 12610 12611 12612],"[100, 0.5, None, 0.0005]",10.88966072147577,215.98571517036746
10,"['Afghan' 'African' 'American(New)' 'American(Traditional)' 'AsianFusion'
 'Australian' 'Barbeque' 'Basque' 'Belgian' 'Brazilian' 'Breakfast&Brunch'
 'British' 'Buffets' 'Burgers' 'Cafes' 'Cajun/Creole' 'Cambodian'
 'Cantonese' 'Caribbean' 'Cheesesteaks' 'ChickenWings' 'Chinese'
 'Colombian' 'ComfortFood' 'Creperies' 'Cuban' 'Delis' 'DimSum' 'Diners'
 'Egyptian' 'Ethiopian' 'FastFood' 'Filipino' 'Fish&Chips' 'Fondue'
 'FoodCourt' 'FoodStands' 'French' 'Gastropubs' 'German' 'Gluten-Free'
 'Greek' 'Haitian' 'Halal' 'Hawaiian' 'Himalayan/Nepalese' 'HotDogs'
 'HotPot' 'Indian' 'Indonesian' 'Irish' 'Italian' 'Japanese' 'Korean'
 'Kosher' 'Laotian' 'LatinAmerican' 'Lebanese' 'Live/RawFood' 'Malaysian'
 'Mediterranean' 'Mexican' 'MiddleEastern' 'ModernEuropean' 'Mongolian'
 'Moroccan' 'Pakistani' 'Persian/Iranian' 'Pizza' 'Polish' 'PuertoRican'
 'Russian' 'Salad' 'Salvadoran' 'Sandwiches' 'Scandinavian' 'Scottish'
 'Seafood' 'Senegalese' 'Shanghainese' 'SoulFood' 'Soup' 'Southern'
 'Spanish' 'Steakhouses' 'SushiBars' 'Szechuan' 'Taiwanese'
 'Tapas/SmallPlates' 'TapasBars' 'Tex-Mex' 'Thai' 'Trinidadian' 'Turkish'
 'Vegan' 'Vegetarian' 'Venezuelan' 'Vietnamese']",[    0     1     2 ... 12609 12611 12612],"[100, 0.5, None, 0.0005]",10.376767676302109,187.4723874321003
1,"['98102' '98103' '98104' '98105' '98106' '98107' '98108' '98109' '98112'
 '98115' '98116' '98117' '98118' '98119' '98121' '98122' '98125' '98126'
 '98133' '98134' '98136' '98144' '98146' '98166' '98168' '98177' '98178'
 '98188' '98199']",[    0     1     2 ... 12610 12611 12612],"[500, 0.5, 10, 0.0005]",10.828555547727506,198.16455720719324
